2024-03-04 12:04:57,695 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:16,311 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:18,450 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:20,191 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:21,805 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:23,423 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:43,049 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:45,183 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:47,690 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:49,869 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:51,973 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:53,314 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:54,977 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:05:56,398 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:06:15,793 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:06:17,283 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:06:20,886 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:06:22,397 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:06:25,952 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
2024-03-04 12:06:32,025 - root - ERROR - Error running command git diff-tree --no-commit-id --name-only -r : Command '['git', 'diff-tree', '--no-commit-id', '--name-only', '-r', '']' returned non-zero exit status 128.
